case_id,domain,seed,location_index,x_mm,z_mm,error_mm,pointwise_radius_mm,das_radius_mm,pointwise_standardized_abs_error,das_standardized_abs_error,pointwise_covered,das_covered
noise_density-seed-410000,noise_density,410000,498,1730.8823529411766,1800.0,-1.0913116870119008,3.307724655665371,5.56332861371396,0.3299282136869328,0.19616164400602687,True,True
noise_density-seed-410000,noise_density,410000,499,1789.705882352941,1800.0,-0.8368159497379919,3.209744476599868,5.39853378025093,0.26071108022419404,0.15500800472884987,True,True
noise_density-seed-410000,noise_density,410000,500,1848.5294117647059,1800.0,-0.3892421651892056,2.9544572990024722,4.969161142655683,0.1317474330465454,0.07833156422477815,True,True
noise_density-seed-410000,noise_density,410000,501,1907.3529411764705,1800.0,0.058022927722307174,2.9481912236685166,4.958622104546397,0.019680856267561785,0.011701421584255809,True,True
noise_density-seed-410000,noise_density,410000,502,1966.1764705882351,1800.0,0.37528787190961976,2.860339142195075,4.810861922090336,0.13120397730935401,0.07800844796363557,True,True
noise_density-seed-410000,noise_density,410000,523,2105.813327533978,121.53863936866723,-4.610484631270897,4.3055841643375174,7.241648587401611,1.0708151217804132,0.6366622980424397,False,True
noise_density-seed-410000,noise_density,410000,524,2168.6551330932443,143.19984843946412,-3.745814981307073,4.201132832075669,7.065969791248613,0.891620220314806,0.530120435265144,True,True
noise_density-seed-410000,noise_density,410000,525,2206.305371535362,133.00228237579165,-3.404339065364955,4.21851465324141,7.095204625799972,0.8069994643136154,0.4798084403353091,True,True
noise_density-seed-410000,noise_density,410000,526,2287.036450634527,175.23040152329662,-2.4179314740529874,4.175725049636477,7.023235931036617,0.57904470368888,0.344275985855441,True,True
noise_density-seed-410000,noise_density,410000,527,2343.850249362582,96.00981108703084,-2.5093110052098146,4.268401914756812,7.179111014130423,0.587880676497349,0.3495294891346317,True,True
noise_density-seed-410000,noise_density,410000,528,2401.984213943732,135.4486809520084,-1.907432644056871,4.1544667512895,6.987481171561689,0.4591281524794548,0.2729785737126449,True,True
noise_density-seed-410000,noise_density,410000,529,2496.031873611073,139.85025019671357,-1.5483790443786383,3.9788207295914098,6.692058595585078,0.3891552672536828,0.2313755957546671,True,True
noise_density-seed-410000,noise_density,410000,530,2532.322935366953,143.62755166499596,-1.4757042212529115,4.07726175965347,6.8576285436065145,0.3619351192645362,0.21519162373248343,True,True
noise_density-seed-410000,noise_density,410000,531,2565.8576134066525,96.8940868365552,-1.6546447338564607,4.252194184998908,7.151850907527821,0.38912727450072593,0.23135895242374696,True,True
noise_density-seed-410000,noise_density,410000,532,2628.286713100273,134.91626549081468,-1.5191244080104784,4.225609066042069,7.1071368613516235,0.35950424761686994,0.21374632818335426,True,True
noise_density-seed-410000,noise_density,410000,533,2696.4090316417687,131.7262743598179,-1.6260410976590105,4.226160566166333,7.10806444050079,0.3847561095233155,0.2287600388643142,True,True
noise_density-seed-410000,noise_density,410000,534,2755.6896805246392,157.74271539052194,-1.733150434455422,4.221862689475477,7.1008357552680295,0.41051795426126186,0.24407696420377242,True,True
noise_density-seed-410000,noise_density,410000,535,2807.7532038031686,105.94724065750484,-1.885448667652391,4.4769483244767,7.5298694143179326,0.42114595277862105,0.25039593170994956,True,True
noise_density-seed-410000,noise_density,410000,536,2887.0956560190693,169.46409018216198,-2.079606286972523,4.303058125628894,7.237399992101225,0.48328566016490604,0.28734162672260344,True,True
noise_density-seed-410000,noise_density,410000,537,2927.1834965368953,131.20073383123943,-2.1849314029900584,4.420697687504865,7.435260336845584,0.49425035536037293,0.29386078012125366,True,True
noise_density-seed-410000,noise_density,410000,538,3004.125287994559,140.48936824414403,-2.397046199557393,4.356812327273877,7.327810264796286,0.5501834872601136,0.32711630254308055,True,True
noise_density-seed-410000,noise_density,410000,541,2100.2108119805803,229.44730127097253,-4.168935571938897,4.072128599016635,6.848994977508205,1.0237730637842921,0.608693039727653,False,True
noise_density-seed-410000,noise_density,410000,542,2189.1113349495686,276.56425778354026,-2.8465710207124117,4.143808848045097,6.969555429774135,0.6869455433629192,0.4084293538368001,True,True
noise_density-seed-410000,noise_density,410000,543,2210.745084175886,295.95340947556105,-2.5525461704015164,4.355339586920213,7.325333233179982,0.5860728238200356,0.34845461484807255,True,True
noise_density-seed-410000,noise_density,410000,544,2289.426402496985,271.28233505161904,-1.9819052089451175,4.09221904363443,6.88278550031154,0.4843106363106419,0.2879510350650052,True,True
noise_density-seed-410000,noise_density,410000,545,2337.9557114014083,310.19890342666406,-1.583675478787404,4.209444445587193,7.079949261152674,0.3762195936443794,0.2236845802662671,True,True
noise_density-seed-410000,noise_density,410000,546,2416.3913870623724,258.38981150888276,-1.2976042496128137,4.1143557702607225,6.920017705973847,0.3153845515723561,0.18751458518561742,True,True
noise_density-seed-410000,noise_density,410000,547,2453.7911078742845,202.6927296137681,-1.3641217254448366,4.154674241230911,6.987830153066583,0.32833421978246036,0.1952139212837331,True,True
noise_density-seed-410000,noise_density,410000,548,2518.5810043162533,283.3554254912902,-1.0420717553362469,4.381965770278232,7.370116346398295,0.23780919568207412,0.1413914932083124,True,True
noise_density-seed-410000,noise_density,410000,549,2572.6243659835814,301.057328180359,-1.0944347035787647,4.2685496026088305,7.179359413298602,0.25639498318348547,0.15244183228262698,True,True
noise_density-seed-410000,noise_density,410000,550,2651.3167964646545,214.23480737560175,-1.411372710207794,4.349605692151658,7.315689280265313,0.3244829095093486,0.19292409178928505,True,True
noise_density-seed-410000,noise_density,410000,551,2705.5303884590985,251.80997722839888,-1.56780322668701,4.154934983405622,6.988268700573519,0.3773352008993289,0.2243478741105565,True,True
noise_density-seed-410000,noise_density,410000,552,2752.5254830560575,263.21978284341253,-1.740653718851494,4.356905997640369,7.327967810869315,0.39951601429872585,0.23753566661000391,True,True
noise_density-seed-410000,noise_density,410000,553,2823.548133621978,240.08089703995697,-1.9484130743716612,4.305819088089318,7.242043710383869,0.4525069526867322,0.2690418826909268,True,True
noise_density-seed-410000,noise_density,410000,554,2884.869009682754,295.76176541590127,-2.1612504950419087,4.428151153163678,7.447796470619591,0.48807062367277376,0.2901865677409028,True,True
noise_density-seed-410000,noise_density,410000,555,2918.3776421195116,272.3297721809155,-2.2063831238600176,4.630867582942369,7.78874931030838,0.47645135265520194,0.2832782306833111,True,True
noise_density-seed-410000,noise_density,410000,556,3000.7544164290634,249.79544757712088,-2.347553868967668,4.484882933086555,7.543214792096649,0.5234370448443457,0.3112139762250044,True,True
noise_density-seed-410000,noise_density,410000,559,2099.626080275224,433.7369786208146,-3.422998522482898,4.31473311184674,7.257036386194431,0.7933279843160049,0.4716799448594068,True,True
noise_density-seed-410000,noise_density,410000,560,2170.4271943479735,440.5611942666791,-2.575702739940872,3.9749198889411366,6.685497693253009,0.6479885914447959,0.3852671645583344,True,True
noise_density-seed-410000,noise_density,410000,561,2229.9825736521807,407.9035670919454,-2.1632364436754914,4.067245304914966,6.840781666959981,0.5318677093465152,0.3162264999807874,True,True
noise_density-seed-410000,noise_density,410000,562,2280.5143917991945,394.08855471699763,-1.8786444022253885,4.194859501540491,7.055418550470495,0.44784441565575395,0.2662697313825712,True,True
noise_density-seed-410000,noise_density,410000,563,2351.2771973663444,425.7689295860039,-1.5787237575672215,4.12179386347559,6.932527984525258,0.3830186103086693,0.22772699383128894,True,True
noise_density-seed-410000,noise_density,410000,564,2412.7370333812755,419.70980321065696,-1.2327615980053483,4.284778058103332,7.2066543789343624,0.2877072234054133,0.17105879277474592,True,True
noise_density-seed-410000,noise_density,410000,565,2434.1979328099296,417.59238197190257,-1.126079838931581,4.4571664009807295,7.4965977993934745,0.25264478317071687,0.15021211875908408,True,True
noise_density-seed-410000,noise_density,410000,566,2497.3212093432826,432.4360130516488,-0.9596282785191725,4.4681873418709666,7.5151341414979145,0.21476903386001422,0.12769276774717686,True,True
noise_density-seed-410000,noise_density,410000,567,2601.253485203142,411.07912028745415,-1.1695935998301188,4.3364356295182125,7.293538287084077,0.2697131238081039,0.1603602468093325,True,True
noise_density-seed-410000,noise_density,410000,568,2644.3792809569504,410.5348977803961,-1.3821391370645628,4.358751403251267,7.3310716356757215,0.31709519749935766,0.18853166436657906,True,True
noise_density-seed-410000,noise_density,410000,569,2690.9420468130143,373.9625056615516,-1.5859153796853391,4.186680408698981,7.041661969746202,0.3788002008441254,0.22521890236979086,True,True
noise_density-seed-410000,noise_density,410000,570,2764.761929778169,414.2111468311786,-1.9914732911234765,4.223651595088728,7.103844551592228,0.47150510554401937,0.28033739711789096,True,True
noise_density-seed-410000,noise_density,410000,571,2808.5638320569733,437.4347530482066,-2.1966730193812385,4.546615118089714,7.647043395431854,0.48314470486874705,0.2872578205445354,True,True
noise_density-seed-410000,noise_density,410000,572,2871.2019777747746,415.1803444786469,-2.3044847500235184,4.430493859463292,7.451736715454617,0.5201417320783022,0.3092547198083509,True,True
noise_density-seed-410000,noise_density,410000,573,2914.912171475855,379.5568651168077,-2.3099682898659646,4.38615622560838,7.377164357484335,0.5266497979208575,0.31312414607144257,True,True
noise_density-seed-410000,noise_density,410000,574,3005.471319835101,439.46674867545573,-2.3713043996479612,4.398285628079944,7.397565043412569,0.5391428843340367,0.3205520175533402,True,True
noise_density-seed-410000,noise_density,410000,577,2117.709647483435,605.9327542284026,-2.8104773425924363,3.9921191927937767,6.714425548265204,0.7040063702671161,0.4185730145326543,True,True
noise_density-seed-410000,noise_density,410000,578,2171.0593887678347,531.3695653091106,-2.475981003639556,3.969668602595135,6.67666544914905,0.6237248625794369,0.3708409568364884,True,True
